INDICE,SP_ALCALDIA,SP_CALLE,SP_NUMERO,SP_COLONIA,SP_CODIGO,SP_NOMBRE,SP_DESCRIP,SP_NIVELES,SP_PERIMET,X,Y
27154,CUAUHTEMOC,DR MARIANO AZUELA,80,SANTA MARIA LA RIBERA,06400,SEDUVI,Inmueble afecto al patrimonio cultural urbano de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1548283896,19.4454136937
27155,CUAUHTEMOC,JUAN ANTONIO ALZATE,38,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1550824367,19.4463316152
27156,CUAUHTEMOC,DR ENRIQUE GLEZ MTEZ,83,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM2,,-99.1556391318,19.4451200819
27157,CUAUHTEMOC,JUAN ANTONIO ALZATE,46,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM4,,-99.1554081572,19.4464669266
27158,CUAUHTEMOC,JUAN ANTONIO ALZATE,44-A,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1553111369,19.4463668461
27163,CUAUHTEMOC,EJE1 NORTE JOSE ANTONIO ALZATE,44,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM3,,-99.1552374395,19.4463556888
27164,CUAUHTEMOC,JUAN ANTONIO ALZATE,30,SANTA MARIA LA RIBERA,06400,SEDUVI,Inmueble afecto al patrimonio cultural urbano de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM2,,-99.1548140476,19.4462868551
27165,CUAUHTEMOC,JUAN ANTONIO ALZATE,40,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM2,,-99.1551545766,19.446340227
27166,CUAUHTEMOC,JUAN ANTONIO ALZATE,28,SANTA MARIA LA RIBERA,06400,"INBA, SEDUVI",Inmueble afecto al patrimonio cultural urbano de valor artístico por el Instituto Nacional de Bellas Artes y de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM2,,-99.1547280877,19.4462736535
27167,CUAUHTEMOC,JUAN ANTONIO ALZATE,34,SANTA MARIA LA RIBERA,06400,SEDUVI,Inmueble afecto al patrimonio cultural urbano de valor patrimonial por la Secretaría de Desarrollo Urbano y Vivienda dentro de los polígonos de Área de Conservación Patrimonial.,CHPPSM2,,-99.1549043772,19.4463018081
